id,name_hu,name_de,name_en,locality,region,region_de,region_en,type,category,difficulty,difficulty_de,difficulty_en,distance_km,duration_min,elevation_gain_m,intro,intro_de,intro_en,highlights,highlights_de,highlights_en,access_notes,access_notes_de,access_notes_en,opening_info,opening_info_de,opening_info_en,ticket_info,ticket_info_de,ticket_info_en,website,phone,latitude,longitude,photo,photo_source,map_link,status,last_verified
magyar-mezogazdasagi-muzeum-es-konyvtar-georgikon-majortorteneti-kiallitohely,Magyar Mezőgazdasági Múzeum és Könyvtár Georgikon Majortörténeti Kiállítóhely,Georgikon gutsgeschichtliche Ausstellungsstätte des Ungarischen Landwirtschaftsmuseums,Hungarian Agricultural Museum and Library – Georgikon Farm History Exhibition Site,Keszthely,Nyugat,West,West,Belepos,Múzeum,Könnyű,Leicht,Easy,,,,"„ Lépj vissza az időben, és fedezd fel, milyen volt az élet egy igazi grófi majorban! Ez a múzeum igazi paradicsom a régi mezőgazdasági gépek és az állattartás iránt érdeklődőknek. Itt nem csak nézelődhetsz, hanem a régi szakmákba is belekóstolhatsz, és megismerheted a Festetics család birtokának gazdálkodási titkait.”","""Tritt eine Zeitreise an und entdecke, wie das Leben auf einem echten gräflichen Meierhof aussah! Dieses Museum ist ein wahres Paradies für alle, die sich für alte Landmaschinen und Tierhaltung interessieren. Hier kannst du nicht nur zuschauen, sondern auch in alte Berufe hineinschnuppern und die landwirtschaftlichen Geheimnisse des Festetics-Besitzes kennenlernen."" ","""Step back in time and discover what life was like in a true countly estate! This museum is a real paradise for those interested in vintage agricultural machinery and animal husbandry. Here, you can do more than just look around; you can get a taste of old trades and uncover the farming secrets of the Festetics family estate."" ",,,,,,,Szezonális; indulás előtt érdemes ellenőrizni.,Saisonal; vor dem Besuch die aktuellen Informationen prüfen.,Seasonal; check the current information before your visit.,Belépős látnivaló; az aktuális árak a helyszínen elérhetők.,Eintrittspflichtige Sehenswürdigkeit; die aktuellen Preise sind vor Ort erhältlich.,Ticketed attraction; current prices are available on site.,,,46.767187484430245,17.23686980900461,,,,to-verify,2025-10-06
festetics-imre-elmenykozpont,Festetics Imre Élményközpont,Imre-Festetics-Erlebniszentrum,Imre Festetics Experience Centre,Gyenesdiás,Észak,Nord,North,Poi,POI,Könnyű,Leicht,Easy,,,,"„ Ha te is imádod a természetfilmeket, akkor ez a hely neked való! Az élményközpont a Balaton-felvidék vadvilágát mutatja be interaktív módon, ahol a medvék, szarvasok és más állatok szinte életre kelnek. Ideális program gyerekekkel, de a felnőttek is bepillanthatnak a környék vadregényes titkaiba.”","""Wenn du Naturfilme liebst, dann ist dieser Ort genau das Richtige für dich! Das Erlebniszentrum präsentiert die Tierwelt des Balaton-Oberlandes auf interaktive Weise, wobei Bären, Hirsche und andere Tiere fast zum Leben erwachen. Ein ideales Programm für Kinder, aber auch Erwachsene können hier einen Einblick in die wildromantischen Geheimnisse der Gegend gewinnen."" ","""If you love nature documentaries, this is the place for you! The experience center presents the wildlife of the Balaton Uplands in an interactive way, where bears, deer, and other animals almost come to life. It is an ideal program for children, but adults can also catch a glimpse into the wild and romantic secrets of the area."" ",,,,,,,,,,,,,,,46.77989693853223,17.27457103784148,,,,to-verify,2025-10-06
gyenesdias-regi-kobanya-gyenesdias,Gyenesdiás Régi kőbánya,Alter Steinbruch Gyenesdiás,"Old Quarry, Gyenesdiás",Gyenesdiás,Nyugat,West,West,Poi,POI,Könnyű,Leicht,Easy,,,,"„ Egy rejtett kincs a dombok között, ahol a természet visszahódította magának a területet. A régi kőbánya ma már egy csendes, meghitt pihenőhely, ahonnan fantasztikus kilátás nyílik a Balatonra. A meredek sziklafalak között felfedezheted a környék geológiai történetét is. A tökéletes helyszín egy kényelmes piknikhez!”","""Ein verborgener Schatz inmitten der Hügel, wo sich die Natur das Gelände zurückerobert hat. Der alte Steinbruch ist heute ein ruhiger, gemütlicher Rastplatz, von dem aus sich ein fantastischer Ausblick auf den Plattensee bietet. Zwischen den steilen Felswänden kannst du zudem die geologische Geschichte der Gegend entdecken. Der perfekte Ort für ein gemütliches Picknick!"" ","""A hidden treasure among the hills, where nature has reclaimed the land. Today, the old quarry is a quiet, intimate resting spot offering a fantastic view of Lake Balaton. Among the steep rock walls, you can also discover the geological history of the area. It is the perfect location for a relaxing picnic!"" ",,,,,,,,,,,,,,,46.77946346804364,17.296145753185066,,,,to-verify,2025-10-06
gyenesdias-fenykereszt-gyenesdias,Gyenesdiás fénykereszt,Leuchtkreuz Gyenesdiás,"Illuminated Cross, Gyenesdiás",Gyenesdiás,Nyugat,West,West,Poi,Szobor/Emlékhely,Könnyű,Leicht,Easy,,,,"„ Ez a szokatlan, modern kereszt nem csak egy vallási jelkép, hanem egy különleges kilátópont is. A Balatonra néző Fénykereszt éjszaka is fénylik, mint egy távoli világítótorony, és különleges hangulatot teremt a sötétben. Ne hagyd ki, ha egy igazán spirituális, de modern kilátást szeretnél megörökíteni.”","""Dieses ungewöhnliche, moderne Kreuz ist nicht nur ein religiöses Symbol, sondern auch ein besonderer Aussichtspunkt. Das über dem Plattensee thronende Lichtkreuz leuchtet auch nachts wie ein ferner Leuchtturm und schafft in der Dunkelheit eine ganz besondere Atmosphäre. Lass es dir nicht entgehen, wenn du einen wirklich spirituellen, aber modernen Ausblick festhalten möchtest."" ","""This unusual, modern cross is not only a religious symbol but also a unique viewpoint. Overlooking Lake Balaton, the Light Cross shines at night like a distant lighthouse, creating a special atmosphere in the dark. Don't miss it if you want to capture a truly spiritual yet modern view."" ",,,,,,,,,,,,,,,46.77437547288082,17.300320593661542,,,,to-verify,2025-10-06
vonyarcvashegy-zenit-kilatopont-vonyarcvashegy,Vonyarcvashegy Zenit Kilátópont,Zenit-Aussichtspunkt Vonyarcvashegy,"Zenit Viewpoint, Vonyarcvashegy",Vonyarcvashegy,Nyugat,West,West,Poi,Kilátó,Könnyű,Leicht,Easy,,,,"„ A Zenit Kilátópont egy olyan pont, ahol garantáltan leesik az állad a panorámától! Ez az elegáns kilátóhely a Balaton nyugati medencéjének egyik legszebb helyén fekszik. Ideális a naplementék és a romantikus pillanatok megörökítésére.”","""Der Zenit-Aussichtspunkt ist ein Ort, an dem dir beim Panorama garantiert die Kinnlade herunterfällt! Dieser elegante Aussichtspunkt liegt an einer der schönsten Stellen des westlichen Beckens vom Plattensee. Er ist ideal, um Sonnenuntergänge und romantische Momente festzuhalten."" ","""The Zenit Viewpoint is a place where the panorama is guaranteed to make your jaw drop! This elegant lookout is situated in one of the most beautiful spots of Lake Balaton's western basin. It is ideal for capturing sunsets and romantic moments."" ",,,,,,,,,,,,,,,46.77090399346872,17.307824424348517,,,,to-verify,2025-10-06
bel-matyas-kilato,Bél Mátyás-kilátó,Bél-Mátyás-Aussichtsturm,Mátyás Bél Lookout Tower,Balatongyörök,Észak,Nord,North,Poi,Kilátó,Könnyű,Leicht,Easy,,,,"„ Lépj fel a Bél Mátyás-kilátóba, és nézz körül a 'Balaton nyugati térképe' felett. A kilátó a térség egyik legmagasabb pontján áll, ahonnan beláthatod az egész Keszthelyi-öblöt. Egy igazi bakancslistás hely, ha a Balatont madártávlatból szeretnéd megcsodálni!”","""Steig hinauf zum Mátyás-Bél-Aussichtsturm und blicke über die „Landkarte des westlichen Balatons“. Der Turm steht auf einem der höchsten Punkte der Region, von dem aus du die gesamte Keszthelyer Bucht überblicken kannst. Ein echter Ort für die Bucket-List, wenn du den Plattensee aus der Vogelperspektive bewundern möchtest!"" ","""Climb up to the Mátyás Bél Lookout and look out over the 'map of the western Balaton.' Standing on one of the highest points in the region, this tower offers a view of the entire Keszthely Bay. It’s a true bucket-list destination if you want to admire Lake Balaton from a bird's-eye view!"" ",,,,,,,,,,,,,,,46.76870728542374,17.35226249551245,,,,to-verify,2025-10-06
bgyorok-szepkilato,Balatongyörök Szépkilátó,"Aussichtspunkt Szépkilátó, Balatongyörök","Szépkilátó Viewpoint, Balatongyörök",Balatongyörök,Észak,Nord,North,Poi,Kilátó,Könnyű,Leicht,Easy,,,,"„ A nevében is benne van, hogy itt a panoráma a lényeg! A Szépkilátó az egyik legismertebb és legfotózottabb kilátóhely a Balatonnál. A Keszthelyi-hegység és a tó találkozása varázslatos látványt nyújt.”","""Schon der Name verrät es: Hier dreht sich alles um das Panorama! Der Szépkilátó (wörtlich: „Schöner Ausblick“) ist einer der bekanntesten und meistfotografierten Aussichtspunkte am Plattensee. Das Aufeinandertreffen des Keszthelyer Gebirges und des Sees bietet einen wahrhaft magischen Anblick."" ","""The name says it all: here, the panorama is everything! Szépkilátó (literally 'Beautiful Viewpoint') is one of the most famous and most photographed lookout spots at Lake Balaton. The meeting of the Keszthely Mountains and the lake offers a truly magical sight."" ",,,,,,,,,,,,,,,46.77051817253685,17.3620612666767,,,,to-verify,2025-10-06
bgyorok-szerelemdomb,Balatongyörök Szerelemdomb,Liebeshügel Balatongyörök,"Love Hill, Balatongyörök",Balatongyörök,Észak,Nord,North,Poi,POI,Könnyű,Leicht,Easy,,,,"„ Neve mindent elárul: ez a hely a romantika fellegvára! Tökéletes helyszín a szerelmeseknek, ahol a Balaton kékje adja a díszletet a meghitt pillanatokhoz. Ki tudja, talán még leánykérések is történnek itt nap mint nap!”","""Der Name verrät alles: Dieser Ort ist eine Hochburg der Romantik! Ein perfekter Platz für Verliebte, an dem das Blau des Plattensees die Kulisse für innige Momente bildet. Wer weiß, vielleicht finden hier tagtäglich sogar Heiratsanträge statt!"" ","""The name says it all: this place is a stronghold of romance! It is a perfect spot for lovers, where the blue of Lake Balaton provides the backdrop for intimate moments. Who knows, perhaps marriage proposals happen here every single day!"" ",,,,,,,,,,,,,,,46.774403489546266,17.35456189551288,,,,to-verify,2025-10-06
bgyorok-batsanyi-kilato,Balatongyörök Batsányi-kilátó,Batsányi-Aussichtsturm Balatongyörök,"Batsányi Lookout Tower, Balatongyörök",Balatongyörök,Észak,Nord,North,Poi,Kilátó,Könnyű,Leicht,Easy,,,,„ Batsányi János költő nevét viselő kilátó remek hely a táj szépségének élvezetéhez. A kilátóból Badacsony és a szigligeti vár látványa teszi teljessé a panorámát.”,"""Der nach dem Dichter János Batsányi benannte Aussichtsturm ist ein großartiger Ort, um die Schönheit der Landschaft zu genießen. Vom Turm aus vervollständigt der Blick auf den Badacsony und die Burg Szigliget das Panorama."" ","""The lookout tower bearing the name of the poet János Batsányi is a great place to enjoy the beauty of the landscape. From the tower, the view of Badacsony and Szigliget Castle completes the panorama."" ",,,,,,,,,,,,,,,46.77730532612929,17.35704499551308,,,,to-verify,2025-10-06
csodabogyos-barlang,Csodabogyós-barlang,Csodabogyós-Höhle,Csodabogyós Cave,Balatonederics,Észak,Nord,North,Poi,Barlang,Nehéz,Schwer,Hard,,,,"„ Készülj fel egy igazi föld alatti kalandra! A Csodabogyós-barlang a Keszthelyi-hegység legnagyobb barlangja, ahol sisakban, overallban fedezheted fel a föld mélyének titkait. Ne felejtsd, a barlangászás nem csak sport, hanem igazi időutazás a földtörténetbe!”","""Mach dich bereit für ein echtes unterirdisches Abenteuer! Die Csodabogyós-Höhle ist die größte Höhle des Keszthelyer Gebirges, in der du mit Helm und Overall die Geheimnisse der Erdtiefe entdecken kannst. Vergiss nicht: Höhlenforschung ist nicht nur Sport, sondern eine echte Zeitreise in die Erdgeschichte!"" ","""Get ready for a real underground adventure! The Csodabogyós Cave is the largest cave in the Keszthely Mountains, where you can discover the secrets of the deep wearing a helmet and overalls. Don't forget, caving is not just a sport, but a true journey back through geological time!"" ",,,,,,,,,,,,,,,46.79247138876764,17.37000505318606,,,,to-verify,2025-10-06
afrika-muzeum,Afrika Múzeum,Afrika Museum,Africa Museum,Balatonederics,Észak,Nord,North,Belepos,Múzeum,Könnyű,Leicht,Easy,,,,"„ Gondoltad volna, hogy a Balaton partján egy afrikai szavannába csöppenhetsz? Kittenberger Kálmán munkásságát bemutató múzeum, ami egy darab Afrikát hozott el Magyarországra. Trófeák, egzotikus állatok és a fekete kontinens hangulata vár itt.”","""Hättest du gedacht, dass du am Ufer des Plattensees mitten in einer afrikanischen Savanne landen könntest? Dieses Museum, das das Lebenswerk von Kálmán Kittenberger präsentiert, hat ein Stück Afrika nach Ungarn gebracht. Hier erwarten dich Trophäen, exotische Tiere und die Atmosphäre des schwarzen Kontinents."" ","""Would you have thought that you could find yourself in the middle of an African savannah on the shores of Lake Balaton? This museum, dedicated to the work of Kálmán Kittenberger, has brought a piece of Africa to Hungary. Trophies, exotic animals, and the atmosphere of the Dark Continent await you here."" ",,,,,,,Szezonális; indulás előtt érdemes ellenőrizni.,Saisonal; vor dem Besuch die aktuellen Informationen prüfen.,Seasonal; check the current information before your visit.,Belépős látnivaló; az aktuális árak a helyszínen elérhetők.,Eintrittspflichtige Sehenswürdigkeit; die aktuellen Preise sind vor Ort erhältlich.,Ticketed attraction; current prices are available on site.,,,46.78452105493076,17.374652407154624,,,,to-verify,2025-10-06
